
开始回测股票: 300355 - 蒙草生态

--- 蒙草生态 (300355) 回测开始 ---
初始持仓数量: 190114, 初始股票价格: 5.26, 初始持仓市值: 999999.64, 初始现金: 1000000.00, 初始总资产: 1999999.64
交易时间: 2025-02-27 10:56:00 | 类型: 卖出 | 价格: 5.52 | 数量: 1901 | 成交额: 10488.32 | 印花税: 10.49 | 佣金: 3.15 | 持仓数量: 180609, 现金数量: 1053020.74, 总资产: 2049488.77
交易时间: 2025-02-27 11:17:00 | 类型: 卖出 | 价格: 5.57 | 数量: 1901 | 成交额: 10593.21 | 印花税: 10.59 | 佣金: 3.18 | 持仓数量: 178708, 现金数量: 1063600.18, 总资产: 2059439.68
交易时间: 2025-02-27 11:25:00 | 类型: 卖出 | 价格: 5.63 | 数量: 1901 | 成交额: 10699.14 | 印花税: 10.70 | 佣金: 3.21 | 持仓数量: 176807, 现金数量: 1074285.41, 总资产: 2069384.16
交易时间: 2025-02-27 11:29:00 | 类型: 卖出 | 价格: 5.68 | 数量: 1901 | 成交额: 10806.13 | 印花税: 10.81 | 佣金: 3.24 | 持仓数量: 174906, 现金数量: 1085077.49, 总资产: 2079321.10
交易时间: 2025-02-27 13:01:00 | 类型: 卖出 | 价格: 5.74 | 数量: 1901 | 成交额: 10914.19 | 印花税: 10.91 | 佣金: 3.27 | 持仓数量: 173005, 现金数量: 1095977.49, 总资产: 2089249.35
交易时间: 2025-02-27 13:03:00 | 类型: 买入 | 价格: 5.68 | 数量: 1901 | 成交额: 10805.05 | 印花税: 0.00 | 佣金: 3.24 | 持仓数量: 174906, 现金数量: 1085169.20, 总资产: 2079313.39
交易时间: 2025-02-27 13:03:00 | 类型: 买入 | 价格: 5.63 | 数量: 1901 | 成交额: 10697.00 | 印花税: 0.00 | 佣金: 3.21 | 持仓数量: 176807, 现金数量: 1074468.99, 总资产: 2069368.74
交易时间: 2025-02-27 13:05:00 | 类型: 卖出 | 价格: 5.68 | 数量: 1901 | 成交额: 10803.97 | 印花税: 10.80 | 佣金: 3.24 | 持仓数量: 174906, 现金数量: 1085258.92, 总资产: 2079303.69
交易时间: 2025-02-27 13:06:00 | 类型: 买入 | 价格: 5.63 | 数量: 1901 | 成交额: 10695.93 | 印花税: 0.00 | 佣金: 3.21 | 持仓数量: 176807, 现金数量: 1074559.78, 总资产: 2069360.04
交易时间: 2025-02-27 13:13:00 | 类型: 买入 | 价格: 5.57 | 数量: 1901 | 成交额: 10588.97 | 印花税: 0.00 | 佣金: 3.18 | 持仓数量: 178708, 现金数量: 1063967.63, 总资产: 2059408.86
交易时间: 2025-02-27 13:17:00 | 类型: 卖出 | 价格: 5.63 | 数量: 1901 | 成交额: 10694.86 | 印花税: 10.69 | 佣金: 3.21 | 持仓数量: 176807, 现金数量: 1074648.59, 总资产: 2069349.37
交易时间: 2025-02-27 13:33:00 | 类型: 买入 | 价格: 5.57 | 数量: 1901 | 成交额: 10587.91 | 印花税: 0.00 | 佣金: 3.18 | 持仓数量: 178708, 现金数量: 1064057.50, 总资产: 2059399.18

--- 蒙草生态 (300355) 回测结束 ---
最终持仓数量: 178708, 最终股票价格: 5.56, 最终持仓市值: 993616.48, 最终现金: 1064057.50, 最终总资产: 2057673.98
买入次数: 25, 卖出次数: 31, 总佣金: 170.56, 总印花税: 316.54, 总资产差值（考虑费用）: 57187.24

开始回测股票: 300117 - *ST嘉寓

--- *ST嘉寓 (300117) 回测开始 ---
初始持仓数量: 1111111, 初始股票价格: 0.90, 初始持仓市值: 999999.90, 初始现金: 1000000.00, 初始总资产: 1999999.90
交易时间: 2025-02-24 09:31:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9899.90 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990097.13, 总资产: 1989996.93
交易时间: 2025-02-24 09:31:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9998.90 | 印花税: 10.00 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000083.03, 总资产: 1999982.93
交易时间: 2025-02-24 09:32:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9898.91 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990181.15, 总资产: 1989980.96
交易时间: 2025-02-24 09:32:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9997.90 | 印花税: 10.00 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000166.05, 总资产: 1999965.96
交易时间: 2025-02-24 09:33:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9897.92 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990265.16, 总资产: 1989964.99
交易时间: 2025-02-24 09:33:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9996.90 | 印花税: 10.00 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000249.07, 总资产: 1999949.00
交易时间: 2025-02-24 09:34:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9896.93 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990349.17, 总资产: 1989949.03
交易时间: 2025-02-24 09:34:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9995.90 | 印花税: 10.00 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000332.07, 总资产: 1999932.03
交易时间: 2025-02-24 09:35:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9895.94 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990433.16, 总资产: 1989933.06
交易时间: 2025-02-24 09:35:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9994.90 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000415.07, 总资产: 1999915.07
交易时间: 2025-02-24 09:36:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9894.95 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990517.15, 总资产: 1989917.10
交易时间: 2025-02-24 09:36:00 | 类型: 卖出 | 价格: 0.90 | 数量: 11111 | 成交额: 9993.90 | 印花税: 9.99 | 佣金: 3.00 | 持仓数量: 1111111, 现金数量: 1000498.06, 总资产: 1999898.11
交易时间: 2025-02-24 09:37:00 | 类型: 买入 | 价格: 0.89 | 数量: 11111 | 成交额: 9893.96 | 印花税: 0.00 | 佣金: 2.97 | 持仓数量: 1122222, 现金数量: 990601.13, 总资产: 1989901.14
