
开始回测股票: 605300 - 佳禾食品
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.71 | 数量: 300 | 成交额: 4413.70 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 75.70
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.57 | 数量: 300 | 成交额: 4369.57 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.71 | 数量: 300 | 成交额: 4413.26 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 75.26
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.56 | 数量: 300 | 成交额: 4369.13 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.71 | 数量: 300 | 成交额: 4412.82 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 74.82
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.56 | 数量: 300 | 成交额: 4368.69 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.71 | 数量: 300 | 成交额: 4412.38 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 74.38
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.56 | 数量: 300 | 成交额: 4368.25 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.71 | 数量: 300 | 成交额: 4411.94 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 73.94
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.56 | 数量: 300 | 成交额: 4367.82 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.70 | 数量: 300 | 成交额: 4411.50 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 73.50
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.56 | 数量: 300 | 成交额: 4367.38 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.70 | 数量: 300 | 成交额: 4411.06 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 24.35
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.56 | 数量: 300 | 成交额: 4366.94 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.70 | 数量: 300 | 成交额: 4410.61 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 73.05
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.56 | 数量: 300 | 成交额: 4366.51 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
交易时间: 2025-02-24 10:49:00 | 类型: 卖出 | 价格: 14.70 | 数量: 300 | 成交额: 4410.17 | 印花税: 4.41 | 佣金: 1.32 | 盈亏: 73.04
交易时间: 2025-02-24 10:49:00 | 类型: 买入 | 价格: 14.55 | 数量: 300 | 成交额: 4366.07 | 印花税: 0.00 | 佣金: 1.31 | 盈亏: 0.00
