
开始回测股票: 688776 - 国光电气
交易时间: 2025-02-25 13:53:00 | 类型: 买入 | 价格: 61.36 | 数量: 300 | 成交额: 18408.84 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:02:00 | 类型: 卖出 | 价格: 61.98 | 数量: 300 | 成交额: 18592.93 | 印花税: 18.59 | 佣金: 5.58 | 盈亏: 2218.40
交易时间: 2025-02-25 14:20:00 | 类型: 卖出 | 价格: 62.60 | 数量: 300 | 成交额: 18778.86 | 印花税: 18.78 | 佣金: 5.63 | 盈亏: 2568.07
交易时间: 2025-02-25 14:33:00 | 类型: 买入 | 价格: 61.97 | 数量: 300 | 成交额: 18591.07 | 印花税: 0.00 | 佣金: 5.58 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 买入 | 价格: 61.35 | 数量: 300 | 成交额: 18405.16 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 卖出 | 价格: 61.96 | 数量: 300 | 成交额: 18589.21 | 印花税: 18.59 | 佣金: 5.58 | 盈亏: 2380.05
交易时间: 2025-02-25 14:34:00 | 类型: 买入 | 价格: 61.34 | 数量: 300 | 成交额: 18403.32 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 卖出 | 价格: 61.96 | 数量: 300 | 成交额: 18587.35 | 印花税: 18.59 | 佣金: 5.58 | 盈亏: 2379.81
交易时间: 2025-02-25 14:34:00 | 类型: 买入 | 价格: 61.34 | 数量: 300 | 成交额: 18401.48 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 卖出 | 价格: 61.95 | 数量: 300 | 成交额: 18585.49 | 印花税: 18.59 | 佣金: 5.58 | 盈亏: 2379.57
交易时间: 2025-02-25 14:34:00 | 类型: 买入 | 价格: 61.33 | 数量: 300 | 成交额: 18399.64 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-25 14:34:00 | 类型: 卖出 | 价格: 61.95 | 数量: 300 | 成交额: 18583.63 | 印花税: 18.58 | 佣金: 5.58 | 盈亏: 2379.33
交易时间: 2025-02-26 09:31:00 | 类型: 买入 | 价格: 61.33 | 数量: 300 | 成交额: 18397.80 | 印花税: 0.00 | 佣金: 5.52 | 盈亏: 0.00
交易时间: 2025-02-26 09:32:00 | 类型: 买入 | 价格: 60.71 | 数量: 300 | 成交额: 18213.82 | 印花税: 0.00 | 佣金: 5.46 | 盈亏: 0.00
交易时间: 2025-02-26 10:01:00 | 类型: 买入 | 价格: 60.11 | 数量: 300 | 成交额: 18031.68 | 印花税: 0.00 | 佣金: 5.41 | 盈亏: 0.00
交易时间: 2025-02-26 10:29:00 | 类型: 卖出 | 价格: 60.71 | 数量: 300 | 成交额: 18212.00 | 印花税: 18.21 | 佣金: 5.46 | 盈亏: 2009.32
交易时间: 2025-02-26 10:50:00 | 类型: 卖出 | 价格: 61.31 | 数量: 300 | 成交额: 18394.12 | 印花税: 18.39 | 佣金: 5.52 | 盈亏: 2193.06
交易时间: 2025-02-26 11:23:00 | 类型: 买入 | 价格: 60.70 | 数量: 300 | 成交额: 18210.18 | 印花税: 0.00 | 佣金: 5.46 | 盈亏: 0.00
交易时间: 2025-02-26 13:51:00 | 类型: 买入 | 价格: 60.09 | 数量: 300 | 成交额: 18028.08 | 印花税: 0.00 | 佣金: 5.41 | 盈亏: 0.00
交易时间: 2025-02-26 14:54:00 | 类型: 卖出 | 价格: 60.69 | 数量: 300 | 成交额: 18208.36 | 印花税: 18.21 | 佣金: 5.46 | 盈亏: 1182.58
交易时间: 2025-02-27 09:31:00 | 类型: 买入 | 价格: 60.09 | 数量: 300 | 成交额: 18026.27 | 印花税: 0.00 | 佣金: 5.41 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.49 | 数量: 300 | 成交额: 17846.01 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.08 | 数量: 300 | 成交额: 18024.47 | 印花税: 18.02 | 佣金: 5.41 | 盈亏: 1000.40
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.48 | 数量: 300 | 成交额: 17844.22 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.08 | 数量: 300 | 成交额: 18022.67 | 印花税: 18.02 | 佣金: 5.41 | 盈亏: 1000.30
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.47 | 数量: 300 | 成交额: 17842.44 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.07 | 数量: 300 | 成交额: 18020.86 | 印花税: 18.02 | 佣金: 5.41 | 盈亏: 829.99
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.47 | 数量: 300 | 成交额: 17840.66 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.06 | 数量: 300 | 成交额: 18019.06 | 印花税: 18.02 | 佣金: 5.41 | 盈亏: 1000.10
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.46 | 数量: 300 | 成交额: 17838.87 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.06 | 数量: 300 | 成交额: 18017.26 | 印花税: 18.02 | 佣金: 5.41 | 盈亏: 829.82
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.46 | 数量: 300 | 成交额: 17837.09 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.05 | 数量: 300 | 成交额: 18015.46 | 印花税: 18.02 | 佣金: 5.40 | 盈亏: -227.53
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.45 | 数量: 300 | 成交额: 17835.30 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.05 | 数量: 300 | 成交额: 18013.66 | 印花税: 18.01 | 佣金: 5.40 | 盈亏: -46.90
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.45 | 数量: 300 | 成交额: 17833.52 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.04 | 数量: 300 | 成交额: 18011.86 | 印花税: 18.01 | 佣金: 5.40 | 盈亏: -594.09
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.44 | 数量: 300 | 成交额: 17831.74 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.03 | 数量: 300 | 成交额: 18010.06 | 印花税: 18.01 | 佣金: 5.40 | 盈亏: -594.03
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.43 | 数量: 300 | 成交额: 17829.95 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.03 | 数量: 300 | 成交额: 18008.25 | 印花税: 18.01 | 佣金: 5.40 | 盈亏: -593.97
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.43 | 数量: 300 | 成交额: 17828.17 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.02 | 数量: 300 | 成交额: 18006.45 | 印花税: 18.01 | 佣金: 5.40 | 盈亏: -593.91
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.42 | 数量: 300 | 成交额: 17826.39 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.02 | 数量: 300 | 成交额: 18004.65 | 印花税: 18.00 | 佣金: 5.40 | 盈亏: -967.68
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.42 | 数量: 300 | 成交额: 17824.61 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.01 | 数量: 300 | 成交额: 18002.85 | 印花税: 18.00 | 佣金: 5.40 | 盈亏: -779.76
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.41 | 数量: 300 | 成交额: 17822.82 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.00 | 数量: 300 | 成交额: 18001.05 | 印花税: 18.00 | 佣金: 5.40 | 盈亏: -593.74
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.40 | 数量: 300 | 成交额: 17821.04 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 60.00 | 数量: 300 | 成交额: 17999.25 | 印花税: 18.00 | 佣金: 5.40 | 盈亏: -409.59
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.40 | 数量: 300 | 成交额: 17819.26 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.99 | 数量: 300 | 成交额: 17997.45 | 印花税: 18.00 | 佣金: 5.40 | 盈亏: -593.62
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.39 | 数量: 300 | 成交额: 17817.48 | 印花税: 0.00 | 佣金: 5.35 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.99 | 数量: 300 | 成交额: 17995.65 | 印花税: 18.00 | 佣金: 5.40 | 盈亏: -409.51
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.39 | 数量: 300 | 成交额: 17815.70 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.98 | 数量: 300 | 成交额: 17993.85 | 印花税: 17.99 | 佣金: 5.40 | 盈亏: -409.47
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.38 | 数量: 300 | 成交额: 17813.91 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.97 | 数量: 300 | 成交额: 17992.05 | 印花税: 17.99 | 佣金: 5.40 | 盈亏: -409.42
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.37 | 数量: 300 | 成交额: 17812.13 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.97 | 数量: 300 | 成交额: 17990.25 | 印花税: 17.99 | 佣金: 5.40 | 盈亏: -409.38
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.37 | 数量: 300 | 成交额: 17810.35 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.96 | 数量: 300 | 成交额: 17988.45 | 印花税: 17.99 | 佣金: 5.40 | 盈亏: -409.34
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.36 | 数量: 300 | 成交额: 17808.57 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.96 | 数量: 300 | 成交额: 17986.66 | 印花税: 17.99 | 佣金: 5.40 | 盈亏: -227.16
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.36 | 数量: 300 | 成交额: 17806.79 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.95 | 数量: 300 | 成交额: 17984.86 | 印花税: 17.98 | 佣金: 5.40 | 盈亏: -46.82
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.35 | 数量: 300 | 成交额: 17805.01 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.94 | 数量: 300 | 成交额: 17983.06 | 印花税: 17.98 | 佣金: 5.39 | 盈亏: -227.12
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.34 | 数量: 300 | 成交额: 17803.23 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.94 | 数量: 300 | 成交额: 17981.26 | 印花税: 17.98 | 佣金: 5.39 | 盈亏: -46.81
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.34 | 数量: 300 | 成交额: 17801.45 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.93 | 数量: 300 | 成交额: 17979.46 | 印花税: 17.98 | 佣金: 5.39 | 盈亏: -46.81
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.33 | 数量: 300 | 成交额: 17799.67 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.93 | 数量: 300 | 成交额: 17977.66 | 印花税: 17.98 | 佣金: 5.39 | 盈亏: 131.66
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.33 | 数量: 300 | 成交额: 17797.89 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.92 | 数量: 300 | 成交额: 17975.87 | 印花税: 17.98 | 佣金: 5.39 | 盈亏: 131.64
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.32 | 数量: 300 | 成交额: 17796.11 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.91 | 数量: 300 | 成交额: 17974.07 | 印花税: 17.97 | 佣金: 5.39 | 盈亏: 131.63
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.31 | 数量: 300 | 成交额: 17794.33 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.91 | 数量: 300 | 成交额: 17972.27 | 印花税: 17.97 | 佣金: 5.39 | 盈亏: 131.62
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.31 | 数量: 300 | 成交额: 17792.55 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.90 | 数量: 300 | 成交额: 17970.47 | 印花税: 17.97 | 佣金: 5.39 | 盈亏: 131.60
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.30 | 数量: 300 | 成交额: 17790.77 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.90 | 数量: 300 | 成交额: 17968.68 | 印花税: 17.97 | 佣金: 5.39 | 盈亏: 131.59
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.30 | 数量: 300 | 成交额: 17788.99 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.89 | 数量: 300 | 成交额: 17966.88 | 印花税: 17.97 | 佣金: 5.39 | 盈亏: 131.58
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.29 | 数量: 300 | 成交额: 17787.21 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.88 | 数量: 300 | 成交额: 17965.08 | 印花税: 17.97 | 佣金: 5.39 | 盈亏: 131.56
交易时间: 2025-02-27 09:32:00 | 类型: 买入 | 价格: 59.28 | 数量: 300 | 成交额: 17785.43 | 印花税: 0.00 | 佣金: 5.34 | 盈亏: 0.00
交易时间: 2025-02-27 09:32:00 | 类型: 卖出 | 价格: 59.88 | 数量: 300 | 成交额: 17963.29 | 印花税: 17.96 | 佣金: 5.39 | 盈亏: 131.55
